Username,Comment
@dhirendrasisodiya5603,❤❤
@shubhambhutya3227,"वायु प्राण लिये उड़ती है, विजय का ध्वज लेहराने को,
रक्त उमड़ता आतुर है, छाती फट बाहार आने को |
धूल उड़ी जब जन सैलाब से,स्वयं सूर्य भी अस्त हुये,
रविंद्र सिंह को सब के सब देख,राहुल मोदी नत्मस्त हुये ||"
@kumarnk4361,भाटी जीतेगा
@rameshdewasi4690,रविन्द्र सिंह भाटी
@Banti.Gurjar56,कहावत है एक चना क्या भाड़ फोड़ेगा। एक निर्दलीय जीत भी जाय किस काम का। विकास के काम तो मोदी ही कराएंगे।
@niteshtiwari4565,Bhati❤
@mahendrajat6128,इस व्यक्ति को इस के अलावा और कोई नहीं दिखता
@gopalsingh6894,Ravindra Bhati ❤❤
@himmatlal225,"भाटी सा.अच्छे नेता है ,भले ही जीत जाए लेकिन मोदी जी पर अटैक करके  बीजेपी में जाने का दरवाजा बंद करना जैसा है।"
@mohansinghdulawat8818,Ravsa jindabad
@GanpatsinghBhayal-gf5sy,विजय भव
@prakashsingh1607,Vijay bhav Ravsabhati🎉🎉❤❤
@ChauhanManjeet99,Ravindra Singh Bhati 🔥🤞😇💪⚔️✨⭐🇮🇳🚩
@mukeshvaishnav1740,Ravindra Singh Bhati jitenge election 💯 percent
@rameshwarmayla5501,"उम्मेद जी सच्चे आदमी है, V for U"
@madanram2752,❤🎉❤🎉❤ रवसा भाटी जिंदाबाद जिंदाबाद
@user-pu1dj3wq8y,"न कोई धर्म , न कोई जाति , सिर्फ रविन्द्र भाटी🎉🎉🎉"
@user-pu1dj3wq8y,थार मांगे रविंद्र❤❤❤
@Only_study523,Only Ravi!!!
@npsingh9558,Bhati ❤
@khetsinghrathore4138,Rawsa विजित
@vivekkalia2936,"चौधरियों को सोचना चाहिये कि ""श्वान"" भी तीन बार ""घी"" नहीं पीता है । अब इस चुनावी परिणाम में कौन घी पीयेगा , यह समय बतायेगा ।😮"
@user-rm3df4db5g,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ BHATI SARKAR JEETEGE
@topindian7690,Sahi fesa... Jor Lga lo kitna bhi...... Beniwal jeete ga
@topindian7690,Sikar k business kon h hum jante h
@MaheshSingh-xg5dw,कांग्रेस और बीजेपी का boycott कर रहे हैं आज के लोग। क्योंकि इनके पास लोगो को गुमराह करने के अलावा कोई vision नहीं है । भाटी साहब स्थानीय लोगों के स्थानीय मुद्दों को सुलझाना है। और अब की बार बदलाव जरूर होगा। भाटी साहब जीतेगा।
@jagdishsingh8474,Ravindra Singh jindabad
@dharmendrarajput252,Ravindra Singh bhati ❤❤❤
@ompalsingh9083,"थार की माटी
वाह रे भाटी"
@chaudharymitul3759,Jodhpur ki 😂😂 bhed arahi badmer me😂 gend dene😂 badmeryo ko😂
@chaudharymitul3759,Kuch bhi😂😂 modi ko dedi takkar. 🤣🤣🤣
@Rameshwar_..29,भाटी मरुधरा का अटल बिहारी बाजपेई जी है।❤🎉
@user-lc9on1cz7t,जय हो
@user-ym4qk7uo5r,बिना स्टार प्रचार इतनी भीड़ का आना बड़ी बात है ✌️✌️✌️👍👍👍
@naturesms2038,Haare gaa keraye ki bheed hai
@prakashthakur5830,❤❤
@Vishu_jatt,Harega or esa harega ki kabhi vapis nhi ladegaa😂😂😂😂
@user-xy9nz5vz5l,रविन्द्र अब इतने आगे निकल गये है कि बीजेपी और काग्रेस इस रेस को नही पकड पाऐगे |एक प्रकार सै इसबार पूरा महोल ही बदल गया है
@virajrajpurohit3043,ओनली फॉर रवसा ❤🎉
@user-gs4tm3mt1j,Bhati win
@harshberad822,Hamke har jase
@SangSingh-nr5sw,रविन्द्र सिंह भाटी 🎉🎉
@chaganlaljat6598,अबकी बार हारेगा
@amritpuri392,आपकी रिपोर्टिंग काफ़ी अच्छी है
@drgajendrasinghsisodia9022,"मोदी जी को चुनौती नहीं बल्कि बीजेपी की एक सीट के जीतने की उम्मीद पर पानी फेर रहे हैं।
बीजेपी के ही हैं पर यदि इस कारण विपक्ष जीतता है तो अच्छी बात नहीं है।।।"
@tulachharamsaran97,"मुख्यमंत्री तक की नहीं सुनी, शिव में विकास करने का पुरा मौका था, शिव की  जनता के साथ धोखा किया, अब सांसद क्या फिर से शिव में दुबारा नहीं जीतेंगे,"
@lokendrasinghlokendrasingh1837,Ravindra Singh only
@MahenderSinghbhati-wx8zs,जहां रविन्द्र सिंह भाटी वहां हम
@moolsinghbhati281,भाटी❤
@railwayknowledge2019,रविंद्र सिंह आज के टाइम मे सबके दिलो पे राज करते है
@arbabkhan5029,"भाइयो भाटी की जीत पक्की है।
मे आपको आज ही कह रहा हू।
काग्रेस या बी जे पी भले ही कुछ भी कर ले। 
क्योकि रविन्द्र भाटी मे जीतने के सभी गुण पाए जाते है।❤"
@GulabSingh-ss1uf,Jai ho Bhati ki
@gauravkhandelwal1575,"ये लपरझंडिस ""आज तक"" वालो को पैसा देकर अपनी खबर लगवाता है और आज तक वाले भी इसको चने के झाड़ पर खूब चढ़ाते हैं । 


कोई भी ऐरे गैरे की तुलना प्रधानमंत्री से कर देते हो क्या भई ।"
@Cricket_lover0006,"मोदी फरेबी है
रावसा ❤❤❤"
@user-zm9hp1ps1i,इतनी भीड़ भी नही थी टकले 😂😂
@someshwarnathomshanti9465,भाटी में कोई दम नहीं है ये बीजेपी का परदे के पीछे जनता के साथ छल कपट किया है कि कैलाश चौधरी हार जायेंगे इसलिए बीजेपी का ही दूसरा उम्मीदवार भाटी जी को मैदान में उतारा है 😂😂😂😂😂
@laxmikantgupta9228,रविंद्र सिंह भाटी हिंदुस्तान का ही नहीं विश्व का महानतम नेता है सीजन 3 को बुलाया है और सबसे अच्छी बात है आपके चैनल की पर्याप्त आर्थिक मदद भी कर रहा है और क्या चाहिए नेता होने के लिए
@rathorsingh2029,रविंद्र सिंह भाटी 36 कोम का नेता हैं भाजपा कांग्रेस मे विलय हो गया है कांग्रेस भाजपा में विलय हो गया
@RAVINDERSINGH-eb9pz,Ravinder Bhati hi jitanga
@s.s.bannarajput5504,तीसरी बार थार में रवि उदय होगा ✌️
@user-el4db2fw7u,BJP Congress ki aarop Lagaye ki bahar ki Janata yah Bahar ki Janata Nahin Barmer Jaisalmer Balotra ki Janata hai aur Janata ka Prem hai aur Ravindra Singh Bhati ko Jita kar bhejenge Delhi
@KamalSingh-pz3fk,Jai Ho ❤
@sawaisinghsoda8805,रवीदर सिंह भाटी चुनाव जीतेगे जय भारत माता की ❤
@RAVINDERSINGH-eb9pz,Badmer may sirf Ravinder bhati
@tulachharamsaran97,Vote for ummedaram
@JaiViloji,Voi for ravi bhati
